TKR,MAE,MSE,LOSS,LatestPrice
BTC,2016.1622231762883,181.14003837782428,0.0307043492794036,34235.19345116
BTC,2604.033198924116,252.6704363408746,0.0399716421961784,34235.19345116
ADA,0.0919113860537908,0.0240533068065272,0.0320322774350643,1.41805266
BTC,1940.7776195087968,171.19500461395222,0.0295159742236137,34235.19345116
BTC,2087.455997086951,201.45860206734807,0.0318282358348369,34235.19345116
BTC,1724.9677401172007,159.74392027209157,0.0261139124631881,34235.19345116
BTC,1822.0253996155543,213.6556333587045,0.0276439450681209,34235.19345116
BTC,1481.6586040837128,169.80508015867125,0.0222783479839563,34235.19345116
BTC,3633.694646984346,435.63578658576256,0.0562033914029598,34235.19345116
BTC,2844.9152731461827,292.8798208086683,0.0437689460813999,34235.19345116
BTC,2443.985126682317,264.9393661333872,0.0374486185610294,34235.19345116
ADA,0.1042139210962815,0.0258772822240562,0.037403218448162,1.41805266
ADA,0.1036898808254133,0.0250951896865432,0.0371744371950626,1.41805266
ADA,0.1558077179093882,0.0357604226051992,0.0599276199936866,1.41805266
ADA,0.184804135046563,0.0413266353398906,0.072586640715599,1.41805266
ADA,0.116148638968535,0.0277933676623282,0.0426135808229446,1.41805266
ADA,0.0908012616970725,0.0237985354980533,0.0315476283431053,1.41805266
ADA,0.2420200179467232,0.0562134134591354,0.0975654870271682,1.41805266
ADA,0.1021893181798336,0.0255416890548922,0.0365193337202072,1.41805266
ADA,0.0980461890528236,0.0247885678260133,0.0347105599939823,1.41805266
ETH,151.65245686824014,15.32026355589908,0.0362783037126064,2324.67944917
ETH,134.56996243562455,10.75686723951378,0.0321800783276557,2324.67944917
ETH,106.34960504883924,6.470888378669426,0.0254097916185855,2324.67944917
ETH,182.89075902727168,16.486421336781643,0.0437726192176342,2324.67944917
ETH,177.4676199582371,22.62872427698912,0.0424715653061866,2324.67944917
ETH,105.14035415171254,7.751134270111977,0.0251196827739477,2324.67944917
ETH,90.5644984510534,5.640550323507328,0.0216228198260068,2324.67944917
ETH,122.7142399624255,10.78459442756627,0.0293357968330383,2324.67944917
ETH,129.78180217649495,10.780885176157918,0.0310313608497381,2324.67944917
ETH,118.95067160409342,7.594275249343333,0.0284328870475292,2324.67944917
